idx,id,year,month,day,weekday,weekend,call_in,call_out,r_mura_gradgona,r_drava_borlformin,r_dravinja_videm,r_savinja_velikosirje,r_sava_radovljica,r_sava_sentjakob,r_sava_hrastnik,r_sava_catez,r_sora_suha,r_krka_podbocje,r_kolpa_radenci,r_ljubljanica_moste,r_soca_solkan,r_vipava_dolenje,r_idrijca_podroteja,r_reka_cmlin,accidents,accidents_people,s_br_temp_avg,s_br_temp_max,s_br_temp_min,s_br_wind_speed,s_br_cloudiness,s_br_humidity,s_br_rainfall,s_br_snow_high,s_br_snow_new,s_br_sunshine_duration,s_br_wind_strong,s_br_wind_storm,s_br_thunderstorm,s_br_freezing_rain,s_br_hail,s_br_frost,s_ce_temp_avg,s_ce_temp_max,s_ce_temp_min,s_ce_wind_speed,s_ce_cloudiness,s_ce_humidity,s_ce_rainfall,s_ce_snow_high,s_ce_snow_new,s_ce_sunshine_duration,s_ce_wind_strong,s_ce_wind_storm,s_ce_thunderstorm,s_ce_freezing_rain,s_ce_hail,s_ce_frost,s_kp_temp_avg,s_kp_temp_max,s_kp_temp_min,s_kp_wind_speed,s_kp_cloudiness,s_kp_humidity,s_kp_rainfall,s_kp_snow_high,s_kp_snow_new,s_kp_sunshine_duration,s_kp_wind_strong,s_kp_wind_storm,s_kp_thunderstorm,s_kp_freezing_rain,s_kp_hail,s_kp_frost,s_kr_temp_avg,s_kr_temp_max,s_kr_temp_min,s_kr_wind_speed,s_kr_cloudiness,s_kr_humidity,s_kr_rainfall,s_kr_snow_high,s_kr_snow_new,s_kr_sunshine_duration,s_kr_wind_strong,s_kr_wind_storm,s_kr_thunderstorm,s_kr_freezing_rain,s_kr_hail,s_kr_frost,s_lj_temp_avg,s_lj_temp_max,s_lj_temp_min,s_lj_wind_speed,s_lj_cloudiness,s_lj_humidity,s_lj_rainfall,s_lj_snow_high,s_lj_snow_new,s_lj_sunshine_duration,s_lj_wind_strong,s_lj_wind_storm,s_lj_thunderstorm,s_lj_freezing_rain,s_lj_hail,s_lj_frost,s_mb_temp_avg,s_mb_temp_max,s_mb_temp_min,s_mb_wind_speed,s_mb_cloudiness,s_mb_humidity,s_mb_rainfall,s_mb_snow_high,s_mb_snow_new,s_mb_sunshine_duration,s_mb_wind_strong,s_mb_wind_storm,s_mb_thunderstorm,s_mb_freezing_rain,s_mb_hail,s_mb_frost,s_ms_temp_avg,s_ms_temp_max,s_ms_temp_min,s_ms_wind_speed,s_ms_cloudiness,s_ms_humidity,s_ms_rainfall,s_ms_snow_high,s_ms_snow_new,s_ms_sunshine_duration,s_ms_wind_strong,s_ms_wind_storm,s_ms_thunderstorm,s_ms_freezing_rain,s_ms_hail,s_ms_frost,s_ng_temp_avg,s_ng_temp_max,s_ng_temp_min,s_ng_wind_speed,s_ng_cloudiness,s_ng_humidity,s_ng_rainfall,s_ng_snow_high,s_ng_snow_new,s_ng_sunshine_duration,s_ng_wind_strong,s_ng_wind_storm,s_ng_thunderstorm,s_ng_freezing_rain,s_ng_hail,s_ng_frost,s_nm_temp_avg,s_nm_temp_max,s_nm_temp_min,s_nm_wind_speed,s_nm_cloudiness,s_nm_humidity,s_nm_rainfall,s_nm_snow_high,s_nm_snow_new,s_nm_sunshine_duration,s_nm_wind_strong,s_nm_wind_storm,s_nm_thunderstorm,s_nm_freezing_rain,s_nm_hail,s_nm_frost,s_po_temp_avg,s_po_temp_max,s_po_temp_min,s_po_wind_speed,s_po_cloudiness,s_po_humidity,s_po_rainfall,s_po_snow_high,s_po_snow_new,s_po_sunshine_duration,s_po_wind_strong,s_po_wind_storm,s_po_thunderstorm,s_po_freezing_rain,s_po_hail,s_po_frost,bdp,unemployment
1,1,2015,1,1,5,1,1369,641,65,148,9,39,2,91,210,249,21,24,65,61,96,18,16,8,50,94,-2.2,0.6,,0.7,93,81,0,0,0,,0,0,0,0,0,0,-3.3,1.5,-9.4,1,63,87,0,0,0,1.6,0,0,0,0,0,0,1.9,8.9,-4.7,3.2,40,72,0,0,0,2.8,0,0,0,0,0,0,-3.7,1.4,,0.5,57,77,0,0,0,,0,0,0,0,0,0,-2,1.4,-4,0.5,63,75,0,0,0,2.4,0,0,0,0,0,0,-3.6,1.5,-8.1,0.6,63,81,0,0,0,1.6,0,0,0,0,0,0,-4,0.7,-8.6,0.4,63,87,0,0,0,0.2,0,0,0,0,0,0,0.2,8.9,-5.3,0.9,33,72,0,0,0,3.2,0,0,0,0,0,0,-1.4,1.1,-7.5,0.5,97,79,0,0,0,0.6,0,0,0,0,0,0,-1.7,6,-8.4,0.4,47,79,0,0,0,1.7,0,0,0,0,0,0,3.3,12.9
2,2,2015,1,2,6,2,1132,510,65,148,9,7,2,6,210,249,21,24,65,61,96,18,16,8,40,75,-1,0.4,,1.2,90,93,0,0,0,,0,0,0,0,0,0,-3.2,-1,-10.9,1,70,97,0,0,0,0,0,0,0,0,0,0,4.6,6.1,-4.6,1,97,94,0,0,0,0,0,0,0,0,0,0,-3.4,-1.1,,0.6,93,88,0,0,0,,0,0,0,0,0,0,-2.4,-0.5,-8.7,0.6,93,94,0,0,0,0,0,0,0,0,0,0,-2.7,-1.7,-10.1,1.4,100,91,0,0,0,0,0,0,0,0,0,0,-3.3,-0.8,-9.7,1.9,100,94,0,0,0,0,0,0,0,0,0,0,1.4,3.8,-7,1.5,77,98,0,0,0,0,0,0,0,0,0,0,-1.9,-0.5,-7.4,0.7,77,97,0,0,0,0,0,0,0,0,0,0,-2.9,-0.5,-9.2,2.7,100,98,0,0,0,0.5,0,0,0,0,0,0,3.3,12.9
3,3,2015,1,3,7,3,966,469,65,148,9,7,2,6,210,249,21,24,65,61,96,18,16,8,30,56,-4.3,-0.7,,2.7,100,91,8.6,13,13,,0,0,0,0,0,0,-5,-1.6,-5.4,2.6,100,96,6.9,7,7,0,0,0,0,0,0,0,1.8,6.7,0,4.5,70,66,21.8,0,0,0,1,0,0,0,0,0,-4.8,-1.8,,1.9,100,86,10.3,9,9,,0,0,0,0,0,0,-4.2,-1.5,-4.1,1.1,97,90,12.8,13,13,0.3,0,0,0,0,0,0,-5.2,-1.9,-5.5,2.6,100,86,3.1,3,3,0,0,0,0,0,0,0,-5.3,-3,-5.3,2,100,84,2.5,3,3,0,0,0,0,0,0,0,1.8,4,0.8,4.7,53,58,20.4,0,0,2.1,1,0,0,0,0,0,-4.8,-1.5,-3.5,2.6,100,95,13.2,16,16,0,0,0,0,0,0,0,-5.5,-2.5,-5.5,6,97,86,13.1,15,15,1.5,1,0,0,0,0,0,3.3,12.9
4,4,2015,1,4,1,1,1112,465,65,148,2,7,2,91,210,249,21,24,65,61,96,18,16,8,45,85,-6.2,-4.6,,2.2,100,88,1.5,16,3,,0,0,0,0,0,0,-6.5,-3.7,-10,0.8,97,92,1.2,8,3,0,0,0,0,0,0,0,4.4,6.1,-1.9,2.3,100,95,1.1,0,0,0,0,0,0,0,0,0,-8.5,-4.8,,0.4,73,87,0.3,10,1,,0,0,0,0,0,0,-4.9,-4.3,-7,0.7,100,90,2.3,14,1,0,0,0,0,0,0,0,-6.8,-5.2,-8.4,2,97,84,0.6,4,1,0,0,0,0,0,0,0,-8.3,-5.6,-8.2,2.2,100,86,0.7,4,2,0,1,1,0,0,0,0,0.5,1.3,-0.7,1.6,100,95,1,1,1,0,0,0,0,0,0,0,-5.9,-4,-7.4,1.3,100,91,4.5,17,4,0,0,0,0,0,0,0,-4.4,-2.8,-8.5,1.5,100,97,0.9,14,1,0,0,0,0,0,0,0,3.3,12.9
5,5,2015,1,5,2,1,1098,500,65,148,9,39,38,91,210,249,21,63,65,61,96,18,16,8,45,85,-2.8,-1.3,,0.9,100,95,3.3,18,2,,0,0,0,1,0,0,-6.1,-2.5,-17.5,0.6,63,98,1.2,9,1,1.1,0,0,0,1,0,0,5.3,7.3,-0.1,1.2,97,98,6.4,0,0,0,0,0,0,0,0,0,-2.9,-1.5,,1.3,100,92,1.5,11,1,,0,0,0,0,0,1,-1.7,-0.4,-5,0.9,100,95,1.4,14,1,0,0,0,0,1,0,1,-5.9,-3.3,-15.3,1,97,91,1.4,6,2,0,0,0,0,1,0,0,-5.3,-3.5,-15.7,0.9,100,93,1.5,5,1,0,0,0,0,0,0,0,2.2,3.4,-1,0.7,93,99,5.8,2,2,0,0,0,0,0,0,0,-2.5,-0.6,-9.4,0.8,100,94,1.8,17,2,0.9,0,0,0,1,0,0,-0.5,1.3,-7.5,1.5,100,98,4.1,17,4,0,0,0,0,0,0,0,3.3,12.9
6,6,2015,1,6,3,1,1157,544,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,-1,-0.1,,2.5,100,96,4.4,17,1,,0,0,0,0,0,0,-2,-0.7,-4.1,0.8,100,99,0.4,8,0,0,0,0,0,0,0,0,4.5,7,0.8,1.1,100,97,3.1,0,0,0,0,0,0,0,0,0,-0.3,0.9,,0.9,100,95,3,13,2,,0,0,0,0,0,0,0.4,1.1,-0.8,0.4,100,97,0.6,17,4,0,0,0,0,0,0,0,-1.8,-0.4,-6.3,2.7,100,92,0,5,0,0,0,0,0,0,0,0,-1.9,-1.4,-4,1.4,100,95,0.7,4,1,0,0,0,0,0,0,0,2,5.3,-0.7,0.6,80,99,2.5,0,0,0,0,0,0,0,0,0,-0.9,-0.5,-2.1,1,100,99,3.7,15,0,0,1,0,0,0,0,0,0,1.3,-0.5,4.6,100,97,11.8,12,0,0,0,0,0,0,0,0,3.3,12.9
7,7,2015,1,7,4,1,1599,496,65,148,9,39,38,91,30,64,21,24,65,61,96,18,16,8,45,85,-1.1,0.5,,2.2,97,97,11.5,27,14,,0,0,0,0,0,0,-1.9,4.7,-12.2,1.5,43,91,1.1,9,1,5.4,0,0,0,0,0,0,6.1,10.9,-3.1,3.6,37,80,0.9,0,0,4.8,0,0,0,0,0,0,-1.8,-0.5,,0.4,100,95,0,13,0,,0,0,0,0,0,0,-1.4,0.4,-0.3,0.8,100,99,1.2,16,1,0,0,0,0,0,0,0,-0.6,5.5,-7.8,1.1,67,88,2.3,8,3,4.8,0,0,0,0,0,0,-2.6,1.9,-13.1,1.5,33,91,4,9,5,4.5,0,0,0,0,0,0,2.4,8.8,-6.3,0.3,47,92,0.1,0,0,5,0,0,0,0,0,0,-1.2,0.1,-3.5,1.3,100,99,13.8,27,15,0,0,0,0,0,0,0,0.3,4.5,-8.7,1,63,89,1.1,13,1,3.7,0,0,0,0,0,0,3.3,12.9
8,8,2015,1,8,5,1,1134,515,65,148,9,39,38,91,30,64,21,24,65,61,96,18,16,8,50,94,-1.3,0.8,,0.4,77,97,0,20,0,,0,0,0,1,0,0,-0.3,3.5,-12.2,0.9,77,96,0,8,0,0.8,0,0,0,0,0,0,7.7,9.3,-2.3,0.4,93,97,0,0,0,0,0,0,0,0,0,0,-1.9,0.7,,0.8,77,93,0,11,0,,0,0,0,1,0,0,0,1.2,-3.5,0.9,100,98,0,16,0,0,0,0,0,1,0,0,-0.6,1.5,-8.9,1.5,97,93,0,7,0,0,0,0,0,0,0,0,-0.6,0.5,-4.8,1.1,93,98,0,7,0,0,0,0,0,0,0,0,4.1,6.9,-2.4,0.7,67,99,0,0,0,0,0,0,0,0,0,0,-0.5,1.5,-8.4,1.2,80,99,0,22,0,0,0,0,0,0,0,0,2.8,3.3,-1.9,1,100,98,0,10,0,0,0,0,0,0,0,0,3.3,12.9
9,9,2015,1,9,6,2,1051,483,65,148,9,39,38,91,30,64,21,24,65,61,96,60,70,20,40,75,1.7,4.1,,1.4,97,96,1.5,16,0,,0,0,0,0,0,0,1.4,2,-0.1,0.7,100,98,1.4,5,0,0,0,0,0,0,0,0,9.9,11.2,6.7,0.9,100,98,9.3,0,0,0,0,0,0,0,0,0,1.2,2.9,,0.6,97,97,4.8,7,0,,0,0,0,0,0,0,2.3,3,0.7,0.6,80,98,6.5,11,0,0,0,0,0,0,0,0,1.6,3.6,0.2,0.9,93,92,0,5,0,0,0,0,0,0,0,0,1.3,2.4,-0.8,0.6,100,100,0.3,6,0,0,0,0,0,0,0,0,6.9,7.7,5.3,0.2,100,99,4,0,0,0,0,0,0,0,0,0,2.4,4.6,0,0.8,97,99,1.1,15,0,0.9,0,0,0,0,0,0,8.2,9.5,1,2.2,100,98,19.4,7,0,0,0,0,0,0,0,0,3.3,12.9
10,10,2015,1,10,7,3,1037,522,65,148,9,39,38,91,30,64,21,24,65,61,96,133,140,44,30,56,1.6,4,,0.9,97,98,3.4,9,0,,0,0,0,0,0,0,6.7,11.2,0.5,1.2,87,94,13.2,2,0,3.5,1,0,0,0,0,0,9.6,13.4,7,1,97,94,20.6,0,0,0.1,0,0,0,0,0,0,5.9,8,,1,97,94,20.6,4,0,,0,0,0,0,0,0,6.3,10.9,1,1,90,93,20.5,6,0,1.8,0,0,0,0,0,0,2,6.3,0.2,0.7,77,93,6.1,0,0,4.5,0,0,0,0,0,0,0.1,1.8,0.1,1.5,100,100,2.6,3,0,0,1,1,0,0,0,0,8.2,9.1,7.1,0.5,100,99,37.7,0,0,0,0,0,0,0,0,0,3.6,9,0.4,0.8,90,98,5.1,8,0,3.5,0,0,0,0,0,0,8.6,9.9,7,3.4,100,96,48.2,0,0,0.1,0,0,0,0,0,0,3.3,12.9
11,11,2015,1,11,1,1,1871,941,100,200,40,200,150,300,600,700,60,24,200,100,300,60,277,20,45,85,10.5,16.8,,2.5,80,78,0,5,0,,1,0,0,0,0,0,10.4,16.5,2.8,4.4,93,78,0.4,0,0,0.9,1,1,0,0,0,0,14.6,17.4,6.5,4.9,77,68,0,0,0,0,1,0,0,0,0,0,9.2,11.9,,1.9,97,91,1.1,0,0,,1,1,0,0,0,0,12.2,14.6,3.1,4.7,83,77,2,0,0,2.2,1,0,0,0,0,0,9.8,17,-0.6,5.8,90,70,0,0,0,2.3,1,1,0,0,0,0,8.2,15.8,-0.6,2.4,80,81,0,1,0,1,1,0,0,0,0,0,12.6,15.5,7.6,4.9,100,83,10.7,0,0,0,1,1,0,0,0,0,12.5,15.6,1,3.9,93,68,0,1,0,0.3,1,1,0,0,0,0,9.9,11.3,7.8,10.6,100,92,7.7,0,0,0,1,1,1,0,0,0,3.3,12.9
12,12,2015,1,12,2,1,1143,506,124,285,94,474,335,649,1050,1415,135,24,431,192,699,18,16,8,45,85,5,12.2,,0.5,13,83,13.2,0,0,,0,0,0,0,0,0,3.3,11.2,-0.7,0.8,37,91,37.3,0,0,5.7,0,0,1,0,0,0,7.3,13.7,2.8,4.2,7,72,1.7,0,0,7.8,0,0,0,0,0,0,3.1,10.5,,1.4,50,84,22.9,0,0,,1,0,1,0,0,0,6.4,13.2,3.5,1.5,37,79,19,0,0,5,0,0,1,0,0,0,4.3,11.6,1.9,1.9,40,82,26.1,0,0,6.5,1,0,0,0,0,0,4.1,10.1,3,1.7,50,86,21.5,0,0,5,1,1,0,0,0,0,6.3,12.6,5.8,2.5,7,79,14.1,0,0,6.6,1,0,0,0,0,0,5.7,13.1,0.4,0.8,23,75,7.6,0,0,4.5,0,0,0,0,0,0,3.7,10.6,1.3,2.7,23,70,26,0,0,7.5,1,0,0,0,0,0,3.3,12.9
13,13,2015,1,13,3,1,1224,549,100,200,40,200,150,300,600,700,60,24,200,100,300,18,16,8,45,85,1.6,11,,1.1,40,85,0,0,0,,0,0,0,0,0,0,2.4,9.5,-4.6,2,30,85,0,0,0,6.1,0,0,0,0,0,0,4.5,10.9,-2.3,2.4,13,88,0,0,0,3.1,0,0,0,0,0,0,-1.8,4.8,,0.8,30,98,0,0,0,,1,1,0,0,0,0,0.7,5.2,-1.7,0.7,80,96,0,0,0,2.9,0,0,0,0,0,0,3.6,10.6,-2.6,1.3,57,68,0,0,0,4.2,0,0,0,0,0,0,2.9,10.2,-4,1.7,47,81,0,0,0,2.3,0,0,0,0,0,0,3.3,10.9,-2.1,0.9,47,92,0,0,0,5.9,0,0,0,0,0,0,2.9,11.5,-2.4,1.1,40,87,0,0,0,5.9,0,0,0,0,0,0,1.9,9.7,-3.3,0.9,43,85,0,0,0,6.7,0,0,0,0,0,0,3.3,12.9
14,14,2015,1,14,4,1,1043,454,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,0.3,3.5,,1,73,96,0,0,0,,0,0,0,0,0,0,0.9,3.7,-7.2,0.7,80,91,0,0,0,1.4,0,0,0,0,0,0,6.5,10.9,-2.6,2.1,67,84,0,0,0,0,0,0,0,0,0,0,-0.9,1.3,,0.4,73,94,0,0,0,,0,0,0,0,0,0,0.3,1.3,-2.2,0.6,100,98,0,0,0,0,0,0,0,0,0,1,2.5,6.7,-5.1,1.3,53,76,0,0,0,3.9,0,0,0,0,0,0,3.5,7.4,-3.9,1.8,27,76,0,0,0,3.7,0,0,0,0,0,0,4.5,9.6,-4.1,0.8,67,88,0,0,0,0.3,0,0,0,0,0,0,1.1,3.9,-5,1.4,57,92,0,0,0,0,0,0,0,0,0,0,1.4,6,-5.7,1.9,77,89,0,0,0,0.7,0,0,0,0,0,0,3.3,12.9
15,15,2015,1,15,5,1,1129,460,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,50,94,0.8,4.3,,1.1,80,97,4.7,0,0,,0,0,0,0,0,0,0.6,5.1,-0.7,1.7,73,92,1,0,0,0.6,0,0,0,0,0,0,4.5,10.7,3.4,2.2,40,81,7.6,0,0,4.1,1,0,0,0,0,0,0,4,,0.6,90,94,2.5,1,1,,0,0,0,0,0,0,1.3,4.1,0.7,1.3,80,94,6.4,0,0,0.6,0,0,0,0,0,0,1.9,4.5,-1.9,2,93,82,0,0,0,0.2,0,0,0,0,0,0,1.3,4.7,-0.5,1.4,87,87,0,0,0,0,1,1,0,0,0,0,3.2,9.7,3.9,1.5,53,82,8.5,0,0,4.2,0,0,0,0,0,0,1,4,0,0.9,100,99,3.9,0,0,0,0,0,0,0,0,0,1,4.7,1,3.1,67,92,12.1,0,0,3.4,0,0,0,0,0,0,3.3,12.9
16,16,2015,1,16,6,2,917,399,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,40,75,0.8,4.2,,1.4,57,81,0.9,0,0,,0,0,0,0,0,0,-1,4.1,-9.1,2.9,37,79,0,0,0,3.8,0,0,0,0,0,0,3.4,8.9,-7,4,3,59,0.5,0,0,8.3,1,0,0,0,0,0,-1.3,3.6,,0.5,57,84,0.4,0,0,,0,0,0,0,0,0,-0.1,3.5,-1.2,1,53,87,2.9,0,0,4.1,0,0,0,0,0,0,-1.1,3,-7,2.1,43,77,0,0,0,2.4,0,0,0,0,0,0,-0.1,3.8,-8,4,50,71,0,0,0,3.5,1,0,0,0,0,0,3,9.4,-6.6,3.2,3,62,0.2,0,0,6.4,0,0,0,0,0,0,-0.2,2.6,-2.6,1.5,40,90,3.6,0,0,2,0,0,0,0,0,0,-0.8,3,-4,2.7,20,78,2,0,0,7.4,0,0,0,0,0,0,3.3,12.9
17,17,2015,1,17,7,3,890,413,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,30,56,-0.9,3.4,,2.3,27,70,0,0,0,,0,0,0,0,0,0,-1.6,3.9,-10.5,1.6,50,76,0,0,0,6.8,0,0,0,0,0,0,0.9,6.9,-2.5,1.9,17,56,0,0,0,7.2,0,0,0,0,0,0,-1.1,3.6,,2.7,37,58,0,0,0,,1,0,0,0,0,0,-1.5,3,-8.3,0.7,23,71,0,0,0,7.6,0,0,0,0,0,0,-1.9,2.7,-9.7,1.9,57,70,0,0,0,6.4,0,0,0,0,0,0,-2.2,2,-8.3,2.9,27,77,0,0,0,3.8,0,0,0,0,0,0,-0.7,7.7,-5.9,0.8,17,72,0,0,0,6.7,0,0,0,0,0,0,-1.5,3.5,-7,1.2,33,76,0.1,0,0,6.3,0,0,0,0,0,0,-1.8,2.2,-7,1.7,40,58,0,0,0,7.2,0,0,0,0,0,0,3.3,12.9
18,18,2015,1,18,1,1,1081,459,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,-5.2,0.4,,0.6,17,80,0,0,0,,0,0,0,0,0,0,-5.3,0.3,-11,1.1,3,85,0,0,0,6.2,0,0,0,0,0,0,-0.1,7,-9.8,3.6,0,46,0,0,0,8.5,0,0,0,0,0,0,-5.9,1.5,,0.9,3,75,0,0,0,,1,0,0,0,0,0,-3.3,0.5,-8.3,1,3,74,0,0,0,7.8,0,0,0,0,0,0,-4.6,-0.1,-10.3,1.5,7,76,0,0,0,5.9,0,0,0,0,0,0,-4.6,1.1,-9.7,1,10,76,0,0,0,6.4,0,0,0,0,0,0,-2.5,6.6,-9.9,1.6,0,69,0,0,0,6,0,0,0,0,0,0,-4.9,-0.1,-7.6,0.7,20,82,0,0,0,5.1,0,0,0,0,0,0,-5.2,0.2,-7.2,2.6,0,76,0,0,0,8,0,0,0,0,0,0,3.3,12.9
